"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","phosphopantetheine binding","GO:0031177","0.014696813948380514","1.8327768036605132","4","222","2","11759","FBGN0283427,FBGN0042627"
"GO:MF","S-malonyltransferase activity","GO:0016419","0.014696813948380514","1.8327768036605132","4","222","2","11759","FBGN0283427,FBGN0042627"
"GO:MF","malonyltransferase activity","GO:0016420","0.014696813948380514","1.8327768036605132","4","222","2","11759","FBGN0283427,FBGN0042627"
"GO:MF","3-oxoacyl-[acyl-carrier-protein] synthase activity","GO:0004315","0.014696813948380514","1.8327768036605132","4","222","2","11759","FBGN0283427,FBGN0042627"
"GO:MF","[acyl-carrier-protein] S-malonyltransferase activity","GO:0004314","0.014696813948380514","1.8327768036605132","4","222","2","11759","FBGN0283427,FBGN0042627"
"GO:MF","S-acetyltransferase activity","GO:0016418","0.014696813948380514","1.8327768036605132","4","222","2","11759","FBGN0283427,FBGN0042627"
"GO:MF","flavin-linked sulfhydryl oxidase activity","GO:0016971","0.014696813948380514","1.8327768036605132","5","173","2","11759","FBGN0033814,FBGN0038919"
"GO:MF","carboxylic acid binding","GO:0031406","0.01948517810339107","1.710295620204037","41","170","4","11759","FBGN0038074,FBGN0029823,FBGN0036793,FBGN0036795"
"GO:MF","acyltransferase, acyl groups converted into alkyl on transfer","GO:0046912","0.020887885998591815","1.680105511460754","5","210","2","11759","FBGN0020236,FBGN0010611"
"GO:MF","alcohol dehydrogenase (NAD+) activity","GO:0004022","0.02184152740403533","1.660716994174743","8","131","2","11759","FBGN0000640,FBGN0000055"
"GO:MF","alcohol dehydrogenase [NAD(P)+] activity","GO:0018455","0.02184152740403533","1.660716994174743","8","131","2","11759","FBGN0000640,FBGN0000055"
"GO:MF","1,4-alpha-glucan branching enzyme activity","GO:0003844","0.02350782986891231","1.6287874610263793","1","43","1","11759","FBGN0053138"
"GO:MF","1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)","GO:0102752","0.02350782986891231","1.6287874610263793","1","43","1","11759","FBGN0053138"
"GO:MF","oxidoreductase activity, acting on diphenols and related substances as donors","GO:0016679","0.02569389103976708","1.5901701219252191","18","63","2","11759","FBGN0033367,FBGN0283437"
"GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor","GO:0016899","0.02569389103976708","1.5901701219252191","6","201","2","11759","FBGN0061356,FBGN0030593"
"GO:MF","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","GO:0016641","0.02569389103976708","1.5901701219252191","7","7","1","11759","FBGN0030029"
"GO:MF","amino acid binding","GO:0016597","0.025814739943586018","1.588132245655862","8","151","2","11759","FBGN0038074,FBGN0029823"
"GO:MF","lysozyme activity","GO:0003796","0.025814739943586018","1.588132245655862","17","3","1","11759","FBGN0029765"
"GO:MF","thiol oxidase activity","GO:0016972","0.025814739943586018","1.588132245655862","7","173","2","11759","FBGN0033814,FBGN0038919"
"GO:MF","galactose binding","GO:0005534","0.026483316264157994","1.5770276330900859","15","80","2","11759","FBGN0053532,FBGN0015583"
"GO:MF","solute:anion antiporter activity","GO:0140323","0.028001385550040597","1.5528204785917317","16","79","2","11759","FBGN0038337,FBGN0013953"
"GO:MF","2-iminobutanoate/2-iminopropanoate deaminase","GO:0120241","0.028001385550040597","1.5528204785917317","1","60","1","11759","FBGN0086691"
"GO:MF","juvenile-hormone esterase activity","GO:0004453","0.028001385550040597","1.5528204785917317","1","59","1","11759","FBGN0010052"
"GO:MF","anion:anion antiporter activity","GO:0015301","0.028001385550040597","1.5528204785917317","16","79","2","11759","FBGN0038337,FBGN0013953"
"GO:MF","2-iminobutanoate deaminase activity","GO:0120242","0.028001385550040597","1.5528204785917317","1","60","1","11759","FBGN0086691"
"GO:MF","intramolecular oxidoreductase activity, transposing C=C bonds","GO:0016863","0.028179993290968052","1.5500591146225424","10","133","2","11759","FBGN0038876,FBGN0038105"
"GO:MF","2-oxoglutarate-dependent dioxygenase activity","GO:0016706","0.028179993290968052","1.5500591146225424","49","170","4","11759","FBGN0032149,FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","triglyceride lipase activity","GO:0004806","0.028179993290968052","1.5500591146225424","62","21","2","11759","FBGN0051091,FBGN0031533"
"GO:MF","selenium binding","GO:0008430","0.029031321570271804","1.537133193668411","1","66","1","11759","FBGN0038115"
"GO:MF","hexokinase activity","GO:0004396","0.029393540695049302","1.5317480964145023","8","175","2","11759","FBGN0036942,FBGN0001187"
"GO:MF","fructokinase activity","GO:0008865","0.029393540695049302","1.5317480964145023","8","175","2","11759","FBGN0036942,FBGN0001187"
"GO:MF","procollagen-proline 4-dioxygenase activity","GO:0004656","0.029893836476699465","1.5244183454578366","26","170","3","11759","FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","procollagen-proline dioxygenase activity","GO:0019798","0.029893836476699465","1.5244183454578366","26","170","3","11759","FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","protein-disulfide reductase activity","GO:0015035","0.03103551587532654","1.5081410313339851","26","173","3","11759","FBGN0033814,FBGN0036820,FBGN0038919"
"GO:MF","heme binding","GO:0020037","0.03136825295092335","1.5035096685799718","139","141","6","11759","FBGN0030367,FBGN0033397,FBGN0014469,FBGN0030615,FBGN0038194,FBGN0034756"
"GO:MF","acyltransferase activity","GO:0016746","0.03136825295092335","1.5035096685799718","210","222","10","11759","FBGN0031032,FBGN0283427,FBGN0031184,FBGN0027579,FBGN0020236,FBGN0030859,FBGN0034383,FBGN0010611,FBGN0050008,FBGN0042627"
"GO:MF","peptidyl-proline 4-dioxygenase activity","GO:0031545","0.03163625333785687","1.4998149553590001","27","170","3","11759","FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","tetrapyrrole binding","GO:0046906","0.03163625333785687","1.4998149553590001","140","141","6","11759","FBGN0030367,FBGN0033397,FBGN0014469,FBGN0030615,FBGN0038194,FBGN0034756"
"GO:MF","oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor","GO:0016670","0.03210918172088481","1.4933707619711047","9","173","2","11759","FBGN0033814,FBGN0038919"
"GO:MF","peptidyl-proline dioxygenase activity","GO:0031543","0.03210918172088481","1.4933707619711047","28","170","3","11759","FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","L-xylulose reductase (NAD+) activity","GO:0044105","0.03210918172088481","1.4933707619711047","1","86","1","11759","FBGN0030968"
"GO:MF","L-xylulose reductase (NADP+) activity","GO:0050038","0.03210918172088481","1.4933707619711047","1","86","1","11759","FBGN0030968"
"GO:MF","peroxiredoxin activity","GO:0051920","0.03210918172088481","1.4933707619711047","9","176","2","11759","FBGN0040308,FBGN0033520"
"GO:MF","oxidoreductase activity, acting on the CH-NH2 group of donors","GO:0016638","0.03210918172088481","1.4933707619711047","12","7","1","11759","FBGN0030029"
"GO:MF","alpha-amylase activity","GO:0004556","0.03210918172088481","1.4933707619711047","3","30","1","11759","FBGN0020506"
"GO:MF","alpha-amylase activity (releasing maltohexaose)","GO:0103025","0.03210918172088481","1.4933707619711047","3","30","1","11759","FBGN0020506"
"GO:MF","sulfate transmembrane transporter activity","GO:0015116","0.03210918172088481","1.4933707619711047","19","79","2","11759","FBGN0038337,FBGN0013953"
"GO:MF","amylase activity","GO:0016160","0.03210918172088481","1.4933707619711047","3","30","1","11759","FBGN0020506"
"GO:MF","FMN binding","GO:0010181","0.03210918172088481","1.4933707619711047","12","7","1","11759","FBGN0030029"
"GO:MF","peptidoglycan muralytic activity","GO:0061783","0.03254675915563609","1.4874922498268675","31","3","1","11759","FBGN0029765"
"GO:MF","antioxidant activity","GO:0016209","0.03254675915563609","1.4874922498268675","53","176","4","11759","FBGN0040308,FBGN0030484,FBGN0036820,FBGN0033520"
"GO:MF","isopentenyl-diphosphate delta-isomerase activity","GO:0004452","0.03254675915563609","1.4874922498268675","1","93","1","11759","FBGN0038876"
"GO:MF","transaldolase activity","GO:0004801","0.03254675915563609","1.4874922498268675","1","94","1","11759","FBGN0023477"
"GO:MF","alpha-1,4-glucosidase activity","GO:0004558","0.03374954383202806","1.4717320928350863","10","10","1","11759","FBGN0033294"
"GO:MF","maltose alpha-glucosidase activity","GO:0032450","0.03374954383202806","1.4717320928350863","10","10","1","11759","FBGN0033294"
"GO:MF","acetate-CoA ligase activity","GO:0003987","0.03614080042275732","1.4420022331990703","1","108","1","11759","FBGN0012034"
"GO:MF","carbohydrate binding","GO:0030246","0.03614080042275732","1.4420022331990703","138","200","7","11759","FBGN0053532,FBGN0015583,FBGN0036793,FBGN0031373,FBGN0036795,FBGN0001187,FBGN0038419"
"GO:MF","oxidative DNA demethylase activity","GO:0035516","0.03688327899346433","1.433170476298843","3","38","1","11759","FBGN0032149"
"GO:MF","DNA demethylase activity","GO:0035514","0.03688327899346433","1.433170476298843","3","38","1","11759","FBGN0032149"
"GO:MF","alpha-galactosidase activity","GO:0004557","0.03688327899346433","1.433170476298843","2","57","1","11759","FBGN0034117"
"GO:MF","acid sphingomyelin phosphodiesterase activity","GO:0061750","0.038141764376592724","1.4185992210620375","3","40","1","11759","FBGN0039769"
"GO:MF","alpha-glucosidase activity","GO:0090599","0.038141764376592724","1.4185992210620375","12","10","1","11759","FBGN0033294"
"GO:MF","protein disulfide isomerase activity","GO:0003756","0.03968577055630762","1.4013651828245537","11","173","2","11759","FBGN0033814,FBGN0038919"
"GO:MF","intramolecular oxidoreductase activity, transposing S-S bonds","GO:0016864","0.03968577055630762","1.4013651828245537","11","173","2","11759","FBGN0033814,FBGN0038919"
"GO:MF","glycine N-methyltransferase activity","GO:0017174","0.03968577055630762","1.4013651828245537","1","127","1","11759","FBGN0038074"
"GO:MF","dioxygenase activity","GO:0051213","0.03969098681851952","1.4013081032971713","60","170","4","11759","FBGN0032149,FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","N,N-dimethylaniline monooxygenase activity","GO:0004499","0.03969098681851952","1.4013081032971713","2","65","1","11759","FBGN0034943"
"GO:MF","L-galactose dehydrogenase activity","GO:0010349","0.04162147528653401","1.3806825301444363","3","48","1","11759","FBGN0037975"
"GO:MF","N-acylsphingosine amidohydrolase activity","GO:0017040","0.04162147528653401","1.3806825301444363","2","71","1","11759","FBGN0039774"
"GO:MF","ceramidase activity","GO:0102121","0.04162147528653401","1.3806825301444363","2","71","1","11759","FBGN0039774"
"GO:MF","phosphatidylglycerophosphatase activity","GO:0008962","0.04162147528653401","1.3806825301444363","1","138","1","11759","FBGN0039111"
"GO:MF","UTP:glucose-1-phosphate uridylyltransferase activity","GO:0003983","0.04162147528653401","1.3806825301444363","1","140","1","11759","FBGN0035978"
"GO:MF","UTP-monosaccharide-1-phosphate uridylyltransferase activity","GO:0051748","0.04162147528653401","1.3806825301444363","1","140","1","11759","FBGN0035978"
"GO:MF","gluconolactonase activity","GO:0004341","0.04162147528653401","1.3806825301444363","2","72","1","11759","FBGN0038257"
"GO:MF","kynurenine-glyoxylate transaminase activity","GO:0047315","0.041847634232099064","1.378329088900981","1","152","1","11759","FBGN0037955"
"GO:MF","kynurenine aminotransferase activity","GO:0036137","0.041847634232099064","1.378329088900981","1","152","1","11759","FBGN0037955"
"GO:MF","kynurenine-oxoglutarate transaminase activity","GO:0016212","0.041847634232099064","1.378329088900981","1","152","1","11759","FBGN0037955"
"GO:MF","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","GO:0016702","0.041847634232099064","1.378329088900981","34","170","3","11759","FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","serine binding","GO:0070905","0.041847634232099064","1.378329088900981","1","151","1","11759","FBGN0029823"
"GO:MF","glycine hydroxymethyltransferase activity","GO:0004372","0.041847634232099064","1.378329088900981","1","151","1","11759","FBGN0029823"
"GO:MF","cysteine-S-conjugate beta-lyase activity","GO:0047804","0.041847634232099064","1.378329088900981","1","152","1","11759","FBGN0037955"
"GO:MF","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","GO:0016701","0.04234633423253414","1.3731841789929713","35","170","3","11759","FBGN0051021,FBGN0036793,FBGN0036795"
"GO:MF","oxidoreductase activity, acting on the CH-NH group of donors","GO:0016645","0.04234633423253414","1.3731841789929713","28","214","3","11759","FBGN0037975,FBGN0036750,FBGN0033820"
"GO:MF","phenylalanine 4-monooxygenase activity","GO:0004505","0.04234633423253414","1.3731841789929713","2","81","1","11759","FBGN0001208"
"GO:MF","hydroxylysine kinase activity","GO:0047992","0.04234633423253414","1.3731841789929713","1","155","1","11759","FBGN0086909"
"GO:MF","sphingomyelin phosphodiesterase activity","GO:0004767","0.04234633423253414","1.3731841789929713","4","40","1","11759","FBGN0039769"
"GO:MF","phosphogluconate dehydrogenase (decarboxylating) activity","GO:0004616","0.04234633423253414","1.3731841789929713","1","157","1","11759","FBGN0004654"
"GO:MF","tryptophan 5-monooxygenase activity","GO:0004510","0.04234633423253414","1.3731841789929713","2","81","1","11759","FBGN0001208"
"GO:MF","sterol binding","GO:0032934","0.04234633423253414","1.3731841789929713","19","112","2","11759","FBGN0039154,FBGN0039801"
"GO:MF","glucosidase activity","GO:0015926","0.04234633423253414","1.3731841789929713","16","10","1","11759","FBGN0033294"
"GO:MF","steroid binding","GO:0005496","0.04497798315299626","1.3470000225589551","20","112","2","11759","FBGN0039154,FBGN0039801"
"GO:MF","glycogen debranching enzyme activity","GO:0004133","0.04497798315299626","1.3470000225589551","1","181","1","11759","FBGN0034618"
