"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","zonula adherens","GO:0005915","0.0125048525448918","1.9029214250304307","6","4","1","11923","FBGN0265991"
"GO:CC","LUBAC complex","GO:0071797","0.018795820188087276","1.7259387183466282","1","38","1","11923","FBGN0031857"
"GO:CC","junctional membrane complex","GO:0030314","0.021219491738656254","1.6732650227787176","1","44","1","11923","FBGN0032129"
"GO:CC","muscle tendon junction","GO:0005927","0.023149840496763566","1.6354519969403722","14","83","2","11923","FBGN0265991,FBGN0013733"
"GO:CC","eukaryotic translation elongation factor 1 complex","GO:0005853","0.029794219530257966","1.5258679865822629","5","13","1","11923","FBGN0000557"
"GO:CC","oxidoreductase complex","GO:1990204","0.030202527637528863","1.5199567095893698","99","86","4","11923","FBGN0022160,FBGN0261439,FBGN0035600,FBGN0010352"
"GO:CC","insulin receptor complex","GO:0005899","0.032443024559100135","1.488878664692186","1","74","1","11923","FBGN0283499"
"GO:CC","hemidesmosome","GO:0030056","0.03558015786481785","1.448792129336209","1","83","1","11923","FBGN0013733"
"GO:CC","myosin II complex","GO:0016460","0.03763468754987287","1.4244116852077437","5","18","1","11923","FBGN0002772"
"GO:CC","dense core granule","GO:0031045","0.04295131771342264","1.3670235078073698","5","21","1","11923","FBGN0004242"
"GO:CC","postsynaptic membrane","GO:0045211","0.04733557608658893","1.3248123330347372","58","31","2","11923","FBGN0026255,FBGN0038840"
"GO:CC","T-tubule","GO:0030315","0.048260670163983305","1.316406651625345","3","41","1","11923","FBGN0261999"
"HP","Interstitial cardiac fibrosis","HP:0031329","0.00015369720616295281","3.813334026833636","3","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Myocardial fibrosis","HP:0001685","0.00019245538615436466","3.7156699300129534","5","44","4","2949","FBGN0004169,FBGN0005666,FBGN0283471,FBGN0032129"
"HP","Peripheral edema","HP:0012398","0.0007620473322996015","3.1180180529148256","6","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Left atrial enlargement","HP:0031295","0.0007620473322996015","3.1180180529148256","6","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Abnormal left atrium morphology","HP:0025579","0.001697436099280332","2.7702065659442487","8","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Right atrial enlargement","HP:0030718","0.004710052765961952","2.326974227512771","12","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Abnormal right atrium morphology","HP:0025580","0.004710052765961952","2.326974227512771","12","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Orthopnea","HP:0012764","0.010373451569875925","1.9840767162877406","16","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Pulmonary edema","HP:0100598","0.011165352166452848","1.952127574291141","17","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Atrial fibrillation","HP:0005110","0.011656589922496916","1.9334284816908716","50","14","4","2949","FBGN0265045,FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Lipoatrophy","HP:0100578","0.015479429253742402","1.8102450563482078","55","14","4","2949","FBGN0265045,FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Round ear","HP:0100830","0.01631178411038344","1.787498535163317","5","67","3","2949","FBGN0004169,FBGN0283471,FBGN0004117"
"HP","Pulmonary venous hypertension","HP:0030950","0.02556425785435048","1.5923668105822215","25","14","3","2949","FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Palmoplantar keratoderma","HP:0000982","0.040922545485404006","1.3880373599090008","140","14","5","2949","FBGN0265045,FBGN0015035,FBGN0004169,FBGN0005666,FBGN0283471"
"HP","Atrial arrhythmia","HP:0001692","0.049144849838816125","1.3085219875729721","80","14","4","2949","FBGN0265045,FBGN0004169,FBGN0005666,FBGN0283471"
