"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","mesoderm development","GO:0007498","0.0000012973860175412465","5.886930786949497","99","134","11","11706","FBGN0264489,FBGN0005666,FBGN0004169,FBGN0040505,FBGN0261836,FBGN0002772,FBGN0003149,FBGN0265180,FBGN0000320,FBGN0035917,FBGN0000064"
"GO:BP","muscle organ development","GO:0007517","0.000014385723053629188","4.842068304763605","94","180","11","11706","FBGN0004169,FBGN0264695,FBGN0259209,FBGN0040505,FBGN0261836,FBGN0001250,FBGN0283471,FBGN0029830,FBGN0033504,FBGN0014863,FBGN0013733"
"GO:BP","defense response to bacterium","GO:0042742","0.000017406703902478418","4.759283458204187","261","4","4","11706","FBGN0034407,FBGN0041579,FBGN0052185,FBGN0038530"
"GO:BP","muscle thin filament assembly","GO:0071689","0.00002446477742135787","4.611458731063487","6","32","3","11706","FBGN0005666,FBGN0004169,FBGN0264695"
"GO:BP","response to bacterium","GO:0009617","0.00002446477742135787","4.611458731063487","290","4","4","11706","FBGN0034407,FBGN0041579,FBGN0052185,FBGN0038530"
"GO:BP","antibacterial humoral response","GO:0019731","0.000037035839561583795","4.431377805924488","66","4","3","11706","FBGN0034407,FBGN0041579,FBGN0038530"
"GO:BP","actin filament organization","GO:0007015","0.00009357661240160644","4.028832680899757","181","95","10","11706","FBGN0005666,FBGN0004169,FBGN0264695,FBGN0039897,FBGN0051374,FBGN0261836,FBGN0000667,FBGN0028371,FBGN0001250,FBGN0004117"
"GO:BP","antimicrobial humoral response","GO:0019730","0.00015581654837166763","3.807386420316545","113","4","3","11706","FBGN0034407,FBGN0041579,FBGN0038530"
"GO:BP","skeletal muscle contraction","GO:0003009","0.0002975023683374616","3.5265095726184676","4","13","2","11706","FBGN0005633,FBGN0004169"
"GO:BP","adult somatic muscle development","GO:0007527","0.00034878674201274337","3.4574400317100515","17","93","4","11706","FBGN0005633,FBGN0053519,FBGN0264695,FBGN0283471"
"GO:BP","musculoskeletal movement","GO:0050881","0.0004592685695089127","3.337933274930238","5","13","2","11706","FBGN0005633,FBGN0004169"
"GO:BP","multicellular organismal movement","GO:0050879","0.0004592685695089127","3.337933274930238","5","13","2","11706","FBGN0005633,FBGN0004169"
"GO:BP","extracellular matrix organization","GO:0030198","0.0005038693291208234","3.2976820766491493","69","186","8","11706","FBGN0029791,FBGN0011828,FBGN0032666,FBGN0003137,FBGN0267348,FBGN0016075,FBGN0002526,FBGN0000299"
"GO:BP","cell-substrate adhesion","GO:0031589","0.0005152893219817965","3.287948857058491","34","185","6","11706","FBGN0265991,FBGN0001250,FBGN0264273,FBGN0011722,FBGN0267348,FBGN0002526"
"GO:BP","tricarboxylic acid metabolic process","GO:0072350","0.0007308496720957389","3.136171943552686","12","170","4","11706","FBGN0039358,FBGN0261955,FBGN0038922,FBGN0027291"
"GO:BP","striated muscle myosin thick filament assembly","GO:0071688","0.0007810429218517371","3.107325099014944","3","32","2","11706","FBGN0005633,FBGN0264695"
"GO:BP","skeletal muscle myosin thick filament assembly","GO:0030241","0.0007810429218517371","3.107325099014944","3","32","2","11706","FBGN0005633,FBGN0264695"
"GO:BP","basement membrane organization","GO:0071711","0.0009023824487813208","3.044609360248532","23","186","5","11706","FBGN0011828,FBGN0267348,FBGN0016075,FBGN0002526,FBGN0000299"
"GO:BP","substrate adhesion-dependent cell spreading","GO:0034446","0.000931100144917687","3.0310036057575016","12","185","4","11706","FBGN0001250,FBGN0011722,FBGN0267348,FBGN0002526"
"GO:BP","positive regulation of microfilament motor activity","GO:0120081","0.000931100144917687","3.0310036057575016","3","36","2","11706","FBGN0265045,FBGN0259680"
"GO:BP","striated muscle contraction","GO:0006941","0.0009619147704563487","3.0168634065071784","9","84","3","11706","FBGN0005633,FBGN0004169,FBGN0265356"
"GO:BP","innate immune response","GO:0045087","0.0010819718895852645","2.965784022368628","241","4","3","11706","FBGN0034407,FBGN0041579,FBGN0038530"
"GO:BP","regulation of microfilament motor activity","GO:0120079","0.0017183232032879736","2.7648951453925243","4","36","2","11706","FBGN0265045,FBGN0259680"
"GO:BP","extracellular structure organization","GO:0043062","0.0018169823966903732","2.7406492802083484","85","186","8","11706","FBGN0029791,FBGN0011828,FBGN0032666,FBGN0003137,FBGN0267348,FBGN0016075,FBGN0002526,FBGN0000299"
"GO:BP","isocitrate metabolic process","GO:0006102","0.0029334092093421032","2.532627348897084","7","170","3","11706","FBGN0039358,FBGN0038922,FBGN0027291"
"GO:BP","actin filament bundle assembly","GO:0051017","0.003009026492717637","2.5215739885342865","37","79","4","11706","FBGN0039897,FBGN0000667,FBGN0028371,FBGN0001250"
"GO:BP","actin filament bundle organization","GO:0061572","0.0040320133284236555","2.3944780409347337","40","79","4","11706","FBGN0039897,FBGN0000667,FBGN0028371,FBGN0001250"
"GO:BP","skeletal myofibril assembly","GO:0014866","0.004094783965604611","2.3877690059965397","7","32","2","11706","FBGN0005633,FBGN0264695"
"GO:BP","neuromuscular process","GO:0050905","0.005115263575108029","2.2911319834052333","19","13","2","11706","FBGN0005633,FBGN0004169"
"GO:BP","regulation of sarcomere organization","GO:0060297","0.005115263575108029","2.2911319834052333","3","95","2","11706","FBGN0051374,FBGN0004117"
"GO:BP","myosin filament assembly","GO:0031034","0.005194902310372348","2.284422614895088","8","32","2","11706","FBGN0005633,FBGN0264695"
"GO:BP","muscle tissue development","GO:0060537","0.006245217886116178","2.2044524051541807","20","186","4","11706","FBGN0259209,FBGN0283471,FBGN0014863,FBGN0000299"
"GO:BP","somatic muscle development","GO:0007525","0.0065286303995312","2.1851779170882297","93","112","6","11706","FBGN0005633,FBGN0053519,FBGN0264695,FBGN0261836,FBGN0283471,FBGN0000320"
"GO:BP","tricarboxylic acid cycle","GO:0006099","0.007196856035041217","2.1428571847951434","39","178","5","11706","FBGN0039358,FBGN0261955,FBGN0038922,FBGN0027291,FBGN0010100"
"GO:BP","cell adhesion","GO:0007155","0.009308407121566368","2.0311246302431614","237","185","12","11706","FBGN0265991,FBGN0284247,FBGN0001250,FBGN0266801,FBGN0029830,FBGN0032666,FBGN0264273,FBGN0034723,FBGN0003137,FBGN0011722,FBGN0267348,FBGN0002526"
"GO:BP","voluntary skeletal muscle contraction","GO:0003010","0.010110810085190497","1.9952140470367068","1","5","1","11706","FBGN0005633"
"GO:BP","oscillatory muscle contraction","GO:0014703","0.010110810085190497","1.9952140470367068","1","5","1","11706","FBGN0005633"
"GO:BP","biological adhesion","GO:0022610","0.012015201498357006","1.9202689415566458","245","185","12","11706","FBGN0265991,FBGN0284247,FBGN0001250,FBGN0266801,FBGN0029830,FBGN0032666,FBGN0264273,FBGN0034723,FBGN0003137,FBGN0011722,FBGN0267348,FBGN0002526"
"GO:BP","regulation of actomyosin structure organization","GO:0110020","0.012290577295808722","1.9104277175613968","20","95","3","11706","FBGN0051374,FBGN0001250,FBGN0004117"
"GO:BP","cell adhesion mediated by integrin","GO:0033627","0.013190219207718326","1.8797479868712703","25","185","4","11706","FBGN0001250,FBGN0011722,FBGN0267348,FBGN0002526"
"GO:BP","regulation of adult chitin-containing cuticle pigmentation","GO:0048082","0.014445268417359762","1.8402743838235827","12","176","3","11706","FBGN0267339,FBGN0000527,FBGN0261260"
"GO:BP","response to wounding","GO:0009611","0.014445268417359762","1.8402743838235827","126","4","2","11706","FBGN0034407,FBGN0038530"
"GO:BP","myosin filament organization","GO:0031033","0.015594420105845962","1.8070307702825144","15","32","2","11706","FBGN0005633,FBGN0264695"
"GO:BP","photoreceptor cell axon guidance","GO:0072499","0.017096915516410308","1.7670822343465997","32","157","4","11706","FBGN0028371,FBGN0000320,FBGN0051352,FBGN0011722"
"GO:BP","muscle cell cellular homeostasis","GO:0046716","0.019662838002860117","1.706353798811615","31","169","4","11706","FBGN0004169,FBGN0265356,FBGN0283471,FBGN0031879"
"GO:BP","regulation of cardiac muscle contraction by calcium ion signaling","GO:0010882","0.022170691994011338","1.654220751428114","1","13","1","11706","FBGN0004169"
"GO:BP","axon guidance","GO:0007411","0.023023673593342335","1.637825380357397","269","185","12","11706","FBGN0040505,FBGN0020294,FBGN0028371,FBGN0001250,FBGN0000320,FBGN0264273,FBGN0034723,FBGN0051352,FBGN0003137,FBGN0011722,FBGN0013733,FBGN0002526"
"GO:BP","protein localization to M-band","GO:0036309","0.023314338549360526","1.6323769013948943","1","14","1","11706","FBGN0053519"
"GO:BP","muscle organ morphogenesis","GO:0048644","0.024776942108243705","1.605952293902772","7","94","2","11706","FBGN0004169,FBGN0029830"
