enrichment_id,name,log2fc
fbgn0028325,pdha,0.46
fbgn0016081,fry,0.39
fbgn0031734,cg11147,0.34
fbgn0035887,jon66cii,-1.98
fbgn0036690,ilp8,-1.72
fbgn0261575,tobi,-1.69
fbgn0038702,cg3739,-1.56
fbgn0032069,lmanvi,-1.41
fbgn0033999,cg8093,-1.36
fbgn0032066,lmaniii,-1.34
fbgn0279385,none,-1.21
fbgn0005696,dnapol-alpha73,-1.16
fbgn0003358,jon99ci,-1.16
fbgn0034712,alp8,-1.15
fbgn0011761,dhd,-1.14
fbgn0032374,cg14931,-1.09
fbgn0010431,mtrm,-1.03
fbgn0001225,hsp26,-1.02
fbgn0030813,cg4949,-0.98
fbgn0034924,cg17658,-0.98
fbgn0038147,ccha2,-0.97
fbgn0002673,twe,-0.96
fbgn0003655,swa,-0.95
fbgn0001086,fzy,-0.95
fbgn0040670,e(y)2b,-0.93
fbgn0031435,elba2,-0.92
fbgn0000615,exu,-0.91
fbgn0032727,cg10623,-0.89
fbgn0038296,cg6752,-0.88
fbgn0033740,dgt5,-0.88
fbgn0002962,nos,-0.88
fbgn0032049,bace,-0.86
fbgn0279811,none,-0.86
fbgn0030660,cg8097,-0.85
fbgn0022772,none,-0.84
fbgn0266521,stai,-0.84
fbgn0031309,tfb4,-0.83
fbgn0222066,none,-0.83
fbgn0015625,cycb3,-0.82
fbgn0043854,slam,-0.82
fbgn0030170,cg2990,-0.82
fbgn0022981,rpk,-0.82
fbgn0000996,dup,-0.81
fbgn0038608,wrnexo,-0.8
fbgn0000351,cort,-0.79
fbgn0040465,dlip3,-0.79
fbgn0040732,cg16926,-0.79
fbgn0046687,tre1,-0.78
fbgn0087040,alphatub67c,-0.78
fbgn0030817,cg4991,-0.78
fbgn0038470,cg18213,-0.78
fbgn0036710,cg6479,-0.78
fbgn0032189,ripalpha,-0.77
fbgn0259682,jabba,-0.76
fbgn0034569,dgt3,-0.76
fbgn0032929,mcm10,-0.76
fbgn0029733,cg6927,-0.76
fbgn0030196,psf3,-0.76
fbgn0015553,tos,-0.75
fbgn0000826,png,-0.75
fbgn0000182,bicc,-0.75
fbgn0036689,cg7730,-0.75
fbgn0038588,cg7156,-0.74
fbgn0267727,pen,-0.72
fbgn0028683,spt4,-0.7
fbgn0000927,fs(1)ya,-0.7
fbgn0005695,gcl,-0.7
fbgn0038845,alp5,-0.7
fbgn0026143,cdc45,-0.69
fbgn0035969,cg4476,-0.69
fbgn0027500,spd-2,-0.69
fbgn0032401,plzf,-0.69
fbgn0034403,cg18190,-0.69
fbgn0001085,fz,-0.68
