enrichment_id,name,log2fc
fbgn0035484,cg11594,-0.54
fbgn0261862,whd,-0.54
fbgn0262782,mdh1,-0.53
fbgn0011284,rps4,-0.53
fbgn0051676,cg31676,-0.52
fbgn0010470,fkbp14,-0.52
fbgn0000055,adh,-0.52
fbgn0051075,cg31075,-0.52
fbgn0032008,cg14277,-0.52
fbgn0030521,ctsb1,-0.5
fbgn0284245,eef1alpha1,-0.5
fbgn0263120,acsl,-0.49
fbgn0039697,cg7834,-0.49
fbgn0027844,cah1,-0.49
fbgn0278758,none,-0.49
fbgn0263773,fok,-0.48
fbgn0032136,apoltp,-0.48
fbgn0086472,rps25,-0.47
fbgn0267408,aox1,-0.47
fbgn0285937,rab1,-0.42
fbgn0035763,mrva,-0.4
fbgn0032949,lamp1,-0.36
