enrichment_id,name,log2fc
fbgn0027547,cg1927,-0.47
fbgn0039682,obp99c,-0.47
fbgn0015268,nap1,-0.46
fbgn0010078,rpl23,-0.46
fbgn0003942,rps27a,-0.45
fbgn0013954,fkbp12,-0.45
fbgn0024293,spn43ab,-0.45
fbgn0016122,acer,-0.45
fbgn0014018,rel,-0.45
fbgn0035422,rpl28,-0.45
fbgn0278830,none,-0.45
fbgn0261862,whd,-0.44
fbgn0285952,eef5,-0.44
fbgn0028697,rpl15,-0.43
fbgn0033912,rps23,-0.43
fbgn0000536,eas,-0.42
fbgn0010225,gel,-0.42
fbgn0020910,rpl3,-0.41
fbgn0020618,rack1,-0.41
fbgn0262782,mdh1,-0.4
fbgn0264294,cyt-b5,-0.39
fbgn0000559,eef2,-0.39
fbgn0261592,rps6,-0.39
fbgn0017579,rpl14,-0.37
fbgn0017545,rps3a,-0.37
