enrichment_id,name,log2fc
fbgn0028841,jhamt,2.846201601
fbgn0023541,cyp4d14,2.815485118
fbgn0040723,cg5011,2.79231704
fbgn0044810,totx,2.782825591
fbgn0042105,cg18748,2.759425158
fbgn0020907,scp2,2.75732974
fbgn0020765,acp65aa,2.694469717
fbgn0038718,cg17752,2.680059501
fbgn0052602,muc12ea,2.675360894
fbgn0034289,cg10910,2.668934625
fbgn0032235,cg5096,2.653758639
fbgn0034437,cg10051,2.604971566
fbgn0038753,cg4459,2.534005044
fbgn0053888,his2b:cg33888,2.519567622
fbgn0032066,lmaniii,2.510125409
fbgn0039107,cg10300,2.510107332
fbgn0002562,lsp1alpha,2.509552001
fbgn0019928,ser8,2.477760934
fbgn0264775,cg44013,2.451043595
fbgn0259237,cg42335,2.446542203
fbgn0030587,cg9522,2.437497064
fbgn0002940,ninae,2.433603147
fbgn0085205,cg34176,2.423822127
fbgn0037685,or85f,2.410016327
fbgn0035780,cg18417,2.394074783
fbgn0085227,cg34198,2.324286453
fbgn0035546,cg11345,2.321011321
fbgn0040104,lectin-24a,2.304523198
fbgn0031248,cg11912,2.286318603
fbgn0262150,cg42876,2.224149782
fbgn0011282,obp84a,2.221544842
fbgn0042098,cg18735,2.201429705
fbgn0013812,dhc93ab,2.201429705
fbgn0052750,cg32750,2.201429705
fbgn0050464,ir52d,2.201429705
fbgn0032535,ance-2,2.190703299
fbgn0035092,nplp1,2.189045981
fbgn0259998,cg17571,2.167612296
fbgn0032048,dh31,2.131040377
fbgn0000659,fkh,2.126661937
fbgn0038645,cg7714,2.124614108
fbgn0032074,tsp29fa,2.109507216
fbgn0053533,lectin-37db,2.106051657
fbgn0050069,cg30069,2.089781537
fbgn0026755,ugt37b1,2.08461604
fbgn0050049,cg30049,2.082130777
fbgn0038098,cg7381,2.047101559
fbgn0039500,cg5984,2.031504704
fbgn0051087,cg31087,2.024810051
fbgn0046689,takl1,2.021723683
fbgn0038391,gatae,2.018084188
fbgn0083936,acp54a1,1.999950827
fbgn0085317,cg34288,1.99833784
fbgn0042630,sox21b,1.994978828
fbgn0051606,cg31606,1.982595103
fbgn0085362,vml,1.97636315
fbgn0045468,gr93d,1.960421606
fbgn0053816,his1:cg33816,1.945505785
fbgn0039408,cg14551,1.942237366
fbgn0035845,cg13675,1.94020887
fbgn0266178,pre-mod(mdg4)-b,1.923640671
fbgn0052284,cg32284,1.905973822
fbgn0031653,jon25biii,1.901444163
fbgn0036575,cg5157,1.89400118
fbgn0051926,cg31926,1.889485699
fbgn0000278,cecb,1.87950161
fbgn0052283,drsl3,1.87950161
fbgn0029835,cg5921,1.875853833
fbgn0051148,gba1a,1.860170132
fbgn0033484,cg2269,1.848640647
fbgn0267650,pre-mod(mdg4)-aa,1.8377013
fbgn0037326,cg14669,1.830173898
fbgn0003015,osk,1.825053826
fbgn0031865,nha1,1.811057927
fbgn0035358,cg14949,1.810290474
fbgn0010497,dmglut,1.80685374
fbgn0053884,his2b:cg33884,1.80426832
fbgn0036563,cg13075,1.799058618
fbgn0051720,mthl15,1.784411842
fbgn0028416,met75ca,1.778071506
fbgn0053514,cg33514,1.777321216
fbgn0032253,lmani,1.75848621
fbgn0035985,cpr67b,1.756397466
fbgn0038975,nrx-1,1.747711738
fbgn0053239,ste:cg33239,1.712126292
fbgn0085387,shakb,1.709576609
fbgn0034629,acox57d-d,1.664361895
fbgn0262363,cg43061,1.657841063
fbgn0034160,cg5550,1.652993081
fbgn0044812,totc,1.634007786
fbgn0036459,cg3349,1.616467205
fbgn0263121,prosalpha1,1.609365984
fbgn0038717,cg17751,1.591353825
