GO_term	Dm_F_wh_L(up)	Dm_F_wh_L(down)	Dm_F_ov(up)	Dm_F_ov(down)	Dp_F_ab(up)	Dp_F_ab(down)	Dp_F_hd(up)	Dp_F_hd(down)	Dp_M_ab(up)	Dp_M_ab(down)	Dp_M_hd(up)	Dp_M_hd(down)	Dm_F_wh_D(up)	Dm_F_wh_D(down)	Dm_M_ts(up)	Dm_M_ts(down)	Af_F_wh(up)	Af_F_wh(down)
GO:0008242	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0070273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016830	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0015103	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
GO:0005506	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0
GO:0008241	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1
GO:0061608	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005375	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035312	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
GO:0031267	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043015	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0032450	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
GO:0046332	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015379	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004558	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
GO:0004553	1	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0
GO:0004030	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0005254	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
GO:0046873	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0
GO:0022842	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004029	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0022841	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0022840	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008139	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0140640	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090599	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
GO:0140312	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0001882	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008271	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
GO:0051020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0140097	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005385	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0016705	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0
GO:0005253	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0140142	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016831	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0016887	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0030145	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0008237	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	1
GO:0050833	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0003997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019903	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042626	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0015301	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
GO:0008499	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0016616	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0
GO:0004032	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
GO:0016758	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0
GO:0015108	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0003678	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019902	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015926	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
GO:0003697	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015020	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0
GO:0003824	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0
GO:0050839	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0015294	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0015149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0022853	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GO:0090482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008175	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001055	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016765	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0016634	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1990776	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035107	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0035114	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0035120	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0035610	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0033345	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0036498	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0038166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0040005	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0042157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035608	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0031570	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019543	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0030510	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0019626	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0042158	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019541	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0019481	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019432	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0019401	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0018345	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018230	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018198	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030514	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042539	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0046327	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0043542	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090288	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:1904385	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0106217	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016054	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0098943	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0098653	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0098656	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0072765	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0072329	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0071477	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0071476	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0061330	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0055071	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0050830	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0
GO:0050829	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
GO:0048737	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0048736	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0048260	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0046463	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
GO:0046460	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
GO:0046395	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0045837	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0045752	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042770	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015882	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:2000497	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006497	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006820	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007384	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007473	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007476	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0006612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006530	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006114	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0008592	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0009636	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
GO:0010042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000077	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0010705	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0010739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008195	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
GO:0015749	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043950	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015711	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0099637	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043252	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0044282	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0042853	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0044719	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0042851	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043543	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0045898	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0072657	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090092	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0046459	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0006524	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006522	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0048259	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0006895	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0048730	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0006090	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
GO:0061088	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003383	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0000706	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0070252	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0071772	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0071773	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0045899	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0097254	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006605	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019835	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0009886	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0009436	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0009080	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0009078	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0009066	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
GO:0009062	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0030509	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0008362	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
GO:0007588	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0032119	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000729	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007472	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0007475	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0045705	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030488	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090287	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0051668	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019284	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007160	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000719	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007178	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0070574	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:2000495	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0045704	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0071333	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0071472	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0070142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035292	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0002165	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
GO:0015691	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034759	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034758	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034756	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007560	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0032787	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0
GO:2000001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0032488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0044773	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1900026	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034761	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1900024	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0048490	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0048563	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0048601	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003382	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0016798	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0
GO:0016476	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007130	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
